site,species,sp.n
ASINARA_add,Atherina.boyeri,1
ASINARA_add,Atherina.boyeri,1
ASINARA_add,Atherina.boyeri,1
ASINARA_add,Atherina.boyeri,1
ASINARA_add,Atherina.boyeri,1
ASINARA_add,Atherina.boyeri,1
ASINARA_add,Atherina.boyeri,1
ASINARA_add,Atherina.boyeri,1
ASINARA_add,Atherina.boyeri,1
ASINARA_add,Atherina.boyeri,1
ASINARA_add,Atherina.boyeri,1
ASINARA_add,Atherina.boyeri,1
ASINARA_add,Atherina.boyeri,1
ASINARA_add,Atherina.boyeri,1
ASINARA_add,Atherina.boyeri,1
ASINARA_add,Atherina.boyeri,1
ASINARA_add,Atherina.boyeri,1
ASINARA_add,Atherina.boyeri,1
ASINARA_add,Atherina.boyeri,1
ASINARA_add,Atherina.boyeri,1
ASINARA_add,Atherina.boyeri,1
ASINARA_add,Atherina.boyeri,1
ASINARA_add,Atherina.boyeri,1
ASINARA_add,Atherina.boyeri,1
ASINARA_add,Atherina.boyeri,1
ASINARA_add,Atherina.boyeri,1
ASINARA_add,Atherina.boyeri,1
ASINARA_add,Atherina.boyeri,1
ASINARA_add,Atherina.boyeri,1
ASINARA_add,Atherina.boyeri,1
ASINARA_add,Atherina.boyeri,1
ASINARA_add,Atherina.boyeri,1
ASINARA_add,Atherina.boyeri,1
ASINARA_add,Atherina.boyeri,1
ASINARA_add,Atherina.boyeri,1
ASINARA_add,Atherina.boyeri,1
ASINARA_add,Atherina.boyeri,1
ASINARA_add,Atherina.boyeri,1
ASINARA_add,Atherina.boyeri,1
ASINARA_add,Atherina.boyeri,1
ASINARA_add,Atherina.boyeri,1
ASINARA_add,Atherina.boyeri,1
ASINARA_add,Atherina.boyeri,1
ASINARA_add,Atherina.boyeri,1
ASINARA_add,Atherina.boyeri,1
ASINARA_add,Atherina.boyeri,1
ASINARA_add,Atherina.boyeri,1
ASINARA_add,Atherina.boyeri,1
ASINARA_add,Atherina.boyeri,1
ASINARA_add,Atherina.boyeri,1
ASINARA_add,Atherina.boyeri,1
ASINARA_add,Atherina.boyeri,1
ASINARA_add,Atherina.boyeri,1
ASINARA_add,Atherina.boyeri,1
ASINARA_add,Atherina.boyeri,1
ASINARA_add,Atherina.boyeri,1
ASINARA_add,Atherina.boyeri,1
ASINARA_add,Atherina.boyeri,1
ASINARA_add,Atherina.boyeri,1
ASINARA_add,Atherina.boyeri,1
ASINARA_add,Atherina.boyeri,1
ASINARA_add,Atherina.boyeri,1
ASINARA_add,Atherina.boyeri,1
ASINARA_add,Atherina.boyeri,1
ASINARA_add,Atherina.boyeri,1
ASINARA_add,Atherina.boyeri,1
ASINARA_add,Atherina.boyeri,1
Linosa,Atherina.boyeri,1
Linosa,Atherina.boyeri,1
Malta,Atherina.boyeri,1
Linosa,Atherina.boyeri,1
Linosa,Atherina.boyeri,1
Habonim,Atherina.boyeri,0
Kornati,Atherina.boyeri,1
