site,trans,Epinephelus.costae,Epinephelus.marginatus,Serranus.cabrilla,Serranus.scriba,Diplodus.annularis,Diplodus.puntazzo,Diplodus.sargus,Diplodus.vulgaris,Siganus.rivulatus,Siganus.luridus,Sarpa.salpa,Sparisoma.cretense
gdor,1866,0,1,0,0,0,0,17,0,66,0,0,0
gdor,1867,0,0,0,0,0,0,16,0,390,0,0,0
gdor,1868,0,0,0,0,0,0,30,0,142,0,0,0
gdor,1869,0,0,0,0,0,0,24,2,48,0,0,0
gdor,1870,0,0,0,0,0,0,8,6,108,0,0,0
gdor,1871,0,0,0,0,0,0,16,16,156,0,0,0
gdor,1872,0,1,0,0,0,0,3,2,276,0,0,0
gdor,1873,0,0,0,0,0,0,10,12,82,0,0,0
gdor,1889,0,0,0,0,0,0,4,2,2136,0,0,0
gdor,1890,0,0,0,0,0,0,4,4,14,0,0,0
gdor,1891,0,0,0,0,0,0,6,2,12,0,0,0
gdor,1893,0,1,0,0,0,0,8,0,24,0,0,0
gdor,1895,0,0,0,0,0,0,13,2,50,0,0,0
gdor,2012,0,0,0,0,0,0,7,0,800,0,0,0
gdor,2013,0,0,0,0,0,0,18,2,0,0,0,0
gdor,2014,0,0,0,0,0,0,6,0,500,2,0,0
gdor,2016,0,1,0,0,0,0,35,6,900,0,0,0
gdor,2018,0,0,0,0,0,0,30,0,880,0,0,0
gdor,2039,0,1,0,0,0,0,6,0,172,0,0,0
gdor,2040,0,0,0,0,0,0,6,6,844,0,0,0
gdor,2041,0,0,0,0,0,0,9,6,512,0,0,0
gdor,2042,0,1,0,0,0,0,4,8,172,0,0,0
gdor,2043,0,0,0,0,0,0,6,18,190,2,0,0
gdor,2044,0,1,0,0,0,0,7,22,232,16,0,0
gdor,2045,0,0,0,0,0,0,8,18,290,14,0,0
habonim,1730,0,0,0,0,0,0,85,4,170,0,0,0
habonim,1753,0,0,0,0,0,0,10,0,8,0,0,0
habonim,1754,0,0,0,0,0,0,17,2,30,0,0,0
habonim,1755,0,0,0,0,0,0,13,0,36,0,0,0
habonim,1756,0,0,0,0,0,0,16,2,96,0,0,0
habonim,1758,0,0,0,0,0,0,20,2,82,0,0,0
habonim,1769,0,0,0,0,0,0,16,0,20,0,0,0
habonim,1770,0,0,0,0,0,0,2,0,52,0,0,0
habonim,1771,0,0,0,0,0,0,9,0,46,0,0,0
habonim,1772,0,0,0,0,0,0,34,6,2004,0,0,0
habonim,1773,0,0,0,0,0,0,60,0,156,0,0,0
habonim,1774,0,0,0,0,0,0,7,0,60,0,0,0
habonim,1775,0,0,0,0,0,0,47,0,42,0,0,0
habonim,1781,0,0,0,0,0,0,0,4,2,0,0,0
habonim,1784,0,0,0,0,0,0,111,32,40,0,0,0
habonim,1785,0,0,0,0,0,0,120,0,0,0,0,0
habonim,1900,0,0,0,0,0,0,4,0,108,0,0,0
habonim,1916,0,0,0,0,0,0,158,6,800,0,0,0
habonim,1917,0,0,0,0,0,0,46,12,600,0,0,0
habonim,1918,0,0,0,0,0,0,128,2,500,0,0,0
habonim,1919,0,1,0,0,0,0,6,14,660,0,0,0
habonim,1921,0,1,0,0,0,0,13,4,208,0,0,0
habonim,1922,0,0,0,0,0,0,17,0,400,0,0,0
habonim,1923,0,0,0,0,0,0,81,0,326,6,0,0
shikmona,1724,0,0,4,0,0,0,0,0,0,0,0,0
shikmona,1725,0,0,0,0,0,0,0,0,0,0,0,0
shikmona,1794,0,1,0,0,0,0,0,0,0,4,0,0
shikmona,1799,0,0,2,0,0,0,0,0,0,0,0,0
shikmona,1800,0,0,0,0,0,0,5,0,0,2,0,0
shikmona,1801,0,0,0,0,0,0,0,12,2,0,0,0
shikmona,1802,0,0,0,0,0,0,0,0,0,0,0,0
shikmona,1803,0,0,4,0,0,0,0,0,0,0,0,0
shikmona,1804,0,0,4,0,0,0,0,0,2,0,0,0
shikmona,1805,0,0,0,0,0,0,0,0,0,0,0,0
shikmona,1816,0,0,0,0,0,0,10,0,0,0,0,0
achziv,1690,0,0,4,0,0,0,0,0,0,0,0,0
achziv,1691,0,0,0,0,0,0,0,0,0,0,0,0
achziv,1858,0,1,0,1,0,0,0,0,60,0,0,2
achziv,1859,0,0,0,1,0,0,0,0,0,6,0,0
achziv,1860,0,0,0,0,0,0,0,0,0,8,0,0
achziv,1861,0,0,0,0,0,0,1,0,0,6,0,0
achziv,1862,0,0,0,0,0,0,0,0,0,0,0,0
achziv,1863,0,0,0,0,0,0,0,0,0,0,0,0
achziv,1864,0,0,2,0,0,0,0,0,2,0,0,0
achziv,1865,0,0,0,0,0,0,0,0,10,0,0,0
achziv,1881,0,0,0,0,0,0,0,0,0,0,0,0
achziv,1883,0,0,2,0,0,0,1,0,0,0,0,0
achziv,1884,0,0,0,0,0,0,0,0,10,0,0,0
achziv,1885,0,0,0,0,0,0,1,0,0,0,0,0
achziv,1887,0,0,0,0,0,0,0,0,0,0,0,0
achziv,1888,0,0,2,0,0,0,7,10,0,24,0,0
achziv,1993,0,1,0,0,0,0,0,0,40,2,0,0
achziv,1994,0,0,0,0,0,0,0,0,0,0,0,0
achziv,1995,0,0,0,0,0,0,0,0,0,0,0,0
achziv,1996,0,0,0,1,0,0,0,0,0,6,0,0
achziv,1997,0,1,0,0,0,0,0,2,16,0,0,0
achziv,1998,0,2,0,0,0,0,4,6,12,2,0,0
achziv,1999,0,1,0,0,0,0,3,0,100,0,0,0
achziv,2000,0,1,0,0,0,0,3,0,182,0,0,0
linosa,221,0,1,0,0,0,0,0,0,0,0,1,4
linosa,222,0,0,0,0,2,0,0,2,0,0,1,14
linosa,223,0,0,0,0,0,0,0,2,0,0,1,2
linosa,224,0,0,0,0,0,0,0,2,0,0,1,2
linosa,225,0,0,0,1,0,0,0,0,0,0,1,2
linosa,226,0,1,0,0,0,0,0,2,0,0,1,4
linosa,227,0,0,0,0,0,0,0,0,0,0,7,2
linosa,228,0,1,0,0,0,0,0,0,0,0,12,0
linosa,229,0,0,0,0,0,0,0,0,0,0,3,2
linosa,230,0,0,2,0,2,0,0,0,0,0,1,0
linosa,231,0,0,0,0,0,0,0,0,0,0,1,0
linosa,232,0,0,0,0,0,0,0,0,0,0,1,2
linosa,233,0,2,0,0,0,0,0,0,0,0,1,0
linosa,234,0,0,0,0,2,0,0,0,0,0,1,2
linosa,427,0,0,0,0,0,0,0,0,0,0,0,26
linosa,428,0,0,0,0,0,0,0,0,0,2,2,24
linosa,429,0,0,0,0,0,0,0,0,0,0,1,18
linosa,430,0,0,0,0,2,0,0,0,0,0,0,18
linosa,431,0,1,0,0,0,0,0,0,0,0,0,14
linosa,432,0,2,0,0,0,0,0,0,0,0,20,4
linosa,433,0,0,0,0,2,0,0,2,0,0,1,2
linosa,434,0,0,0,0,0,0,1,0,0,0,1,6
linosa,435,0,0,0,0,0,0,0,0,0,0,1,6
linosa,436,0,0,0,0,0,0,0,0,0,0,0,26
linosa,437,0,0,0,0,0,0,0,0,0,0,1,4
