"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",0,0,0,0,0,1,0,1,0,1,0,1,1
"2",0,1,1,1,1,0,0,1,1,0,0,0,1
"3",1,0,1,1,0,1,1,1,0,0,1,0,1
"4",1,0,0,1,0,1,0,1,0,0,1,0,0
"5",0,0,0,0,0,1,1,1,0,0,0,1,0
"6",1,0,1,1,1,0,1,0,1,1,1,0,0
"7",0,1,1,0,1,1,0,1,0,1,0,1,1
"8",1,1,0,0,0,1,1,0,0,0,0,1,1
"9",0,1,0,1,0,0,0,0,0,0,1,0,0
"10",0,0,1,0,0,1,0,1,1,0,0,1,1
"11",1,0,1,0,1,1,1,1,1,0,0,0,1
"12",1,1,0,1,1,0,0,1,0,0,0,1,0
"13",0,0,1,1,0,1,1,0,1,1,1,1,0
"14",1,0,1,0,0,1,0,1,1,1,1,0,0
"15",1,1,0,0,0,1,0,1,0,0,1,0,0
"16",0,0,1,0,1,1,1,1,1,0,1,1,1
"17",0,1,0,1,0,1,0,1,1,0,1,0,0
"18",0,0,0,1,0,1,0,0,1,1,0,1,0
"19",1,1,0,0,0,0,1,1,0,0,0,0,0
"20",0,0,1,1,0,1,0,0,1,1,0,1,0
"21",1,0,1,1,1,1,0,1,0,1,1,0,1
"22",1,1,1,0,1,1,0,1,1,0,0,1,1
"23",1,0,1,1,1,1,1,1,0,1,0,0,1
"24",0,1,1,1,1,0,1,1,0,1,1,0,1
"25",1,1,1,0,0,1,1,1,0,0,1,1,0
"26",1,1,0,0,0,1,0,1,0,0,0,0,0
"27",0,1,1,1,1,1,0,1,0,0,0,0,0
"28",0,0,1,1,1,0,1,1,0,1,1,1,1
"29",0,0,1,1,0,1,1,0,0,1,1,0,0
"30",0,1,1,1,0,1,1,0,0,1,1,1,1
"31",1,0,0,0,0,1,0,0,0,0,1,1,0
"32",0,1,1,0,1,1,0,1,1,0,0,0,0
"33",1,0,0,0,1,1,1,1,0,1,1,0,1
"34",1,0,0,0,0,0,0,1,0,1,0,1,1
"35",1,0,0,1,1,1,1,1,1,1,0,1,0
"36",0,1,0,0,0,1,1,0,0,0,0,0,1
"37",0,0,1,1,0,0,1,0,1,0,0,0,0
"38",0,1,0,1,1,0,0,1,0,1,1,1,1
"39",0,1,1,0,1,0,0,0,0,1,0,1,0
"40",0,1,1,1,0,1,0,0,1,1,0,0,1
"41",0,1,1,1,1,0,1,0,1,0,0,1,1
"42",1,0,0,0,0,0,0,1,1,0,1,0,0
"43",1,1,0,1,0,0,1,1,0,0,1,1,1
"44",1,1,0,0,0,1,0,1,1,1,1,1,1
"45",0,1,0,1,0,0,0,1,1,1,0,0,0
"46",1,0,0,1,0,0,0,1,0,0,0,0,0
"47",0,0,1,0,0,1,0,1,0,0,0,0,1
"48",0,1,0,0,0,1,1,0,0,1,1,0,0
"49",1,0,1,1,1,1,1,1,1,1,1,0,1
"50",0,1,1,0,1,1,1,0,1,0,1,0,0
"51",0,0,0,1,0,1,1,1,1,1,0,1,1
"52",0,1,1,0,0,0,1,0,0,0,1,0,1
"53",1,1,1,1,0,0,0,0,0,1,0,0,0
"54",1,0,0,1,1,0,1,0,0,0,1,0,0
"55",1,1,0,1,0,0,1,0,1,0,1,1,1
"56",0,0,1,1,1,1,1,0,1,1,0,1,0
"57",0,1,1,1,0,1,0,1,0,0,1,1,1
"58",1,0,1,1,0,0,0,1,0,1,1,0,0
"59",0,0,0,1,1,0,1,0,1,0,1,0,1
"60",0,0,1,0,1,1,0,1,1,1,0,1,1
"61",1,0,1,1,0,0,1,1,1,1,1,0,0
"62",0,1,0,1,1,0,0,1,1,1,1,1,1
"63",1,0,1,1,1,0,0,1,1,1,0,0,0
"64",0,1,1,0,1,1,1,1,0,1,0,1,0
"65",0,0,0,1,0,1,0,0,0,1,1,1,0
"66",1,0,1,0,1,1,1,1,0,0,1,0,1
"67",1,1,1,1,1,0,0,0,1,1,1,0,1
"68",0,1,1,0,0,1,1,0,1,0,1,1,1
"69",0,1,0,0,0,0,1,0,1,0,0,1,0
"70",1,0,0,1,0,1,0,0,0,0,1,0,1
"71",1,0,0,1,0,1,0,1,1,0,0,1,1
"72",1,0,0,0,1,1,0,0,1,1,0,0,0
"73",0,1,0,1,0,0,1,1,1,1,0,0,0
"74",0,0,1,0,0,1,0,1,1,0,1,0,0
"75",0,0,0,1,1,1,1,0,1,1,1,1,0
"76",1,1,0,1,1,1,1,0,1,0,1,1,1
"77",0,0,0,1,0,1,0,0,1,1,1,0,1
"78",1,1,1,0,1,1,1,1,0,1,0,0,1
"79",0,1,0,0,0,1,1,0,0,1,1,0,1
"80",1,1,0,0,0,1,1,1,1,1,0,1,1
"81",1,0,1,1,0,0,1,1,0,0,1,1,0
"82",1,0,1,0,0,0,1,1,0,0,1,1,1
"83",0,0,0,0,0,1,1,1,0,1,0,0,0
"84",0,1,0,1,0,1,0,1,0,1,0,1,0
"85",1,1,0,1,0,0,0,1,0,1,1,1,1
