site,max_temp
MARATEA,27.25802167
FETHIYE,27.73125
Sponge Bob Harbor,27.96553125
Chapel,27.96936111
Konnos Point,27.96936111
KAS,28
North slope algae,28.006995
North slope C,28.006995
North slope GZ,28.006995
Ridge 1,28.006995
Shikmona 1,28.006995
Shikmona 2,28.006995
Shikmona 3,28.006995
Shikmona 4,28.006995
Shikmona 5,28.006995
Spartan,28.006995
Akhziv Is.,28.00932667
Segavion,28.00932667
Nachlieli,28.02562
Shachaf,28.02562
Habonim,28.372674
Shikmona,28.44805
Gdor,28.61001833
Achziv,28.61159667
ADRASAN,28.975702
