,X,data.origin,country,trans,lon,lat,site,species,sp.length,sp.n,season,protection,enforcement,total.mpa.ha,size.notake,yr.creation,age.reserve.yr,rug,depth,tmax,tmin,a,b
13620,13689,Belmaker,France,2373,3.166758,1,,Coris.julis,4,2,Summer,#N/A,NA,650,NA,1962,55,NA,8,29,25,0.007987878,3.08525
13621,13690,Belmaker,France,2373,3.166758,1,,Coris.julis,4,1,Summer,#N/A,NA,650,NA,1962,55,NA,8,29,25,0.007987878,3.08525
13622,13691,Belmaker,France,2373,3.166758,1,,Coris.julis,8,1,Summer,#N/A,NA,650,NA,1962,55,NA,8,29,25,0.007987878,3.08525
13623,13692,Belmaker,France,2373,3.166758,1,,Coris.julis,8,2,Summer,#N/A,NA,650,NA,1962,55,NA,8,29,25,0.007987878,3.08525
13624,13693,Belmaker,France,2373,3.166758,1,,Coris.julis,5,2,Summer,#N/A,NA,650,NA,1962,55,NA,8,29,25,0.007987878,3.08525
13625,13694,Belmaker,France,2373,3.166758,1,,Coris.julis,10,2,Summer,#N/A,NA,650,NA,1962,55,NA,8,29,25,0.007987878,3.08525
13626,13695,Belmaker,France,2373,3.166758,1,,Coris.julis,11,5,Summer,#N/A,NA,650,NA,1962,55,NA,8,29,25,0.007987878,3.08525
13627,13696,Belmaker,France,2373,3.166758,1,,Coris.julis,3,12,Summer,#N/A,NA,650,NA,1962,55,NA,8,29,25,0.007987878,3.08525
13628,13697,Belmaker,France,2373,3.166758,1,,Coris.julis,8,1,Summer,#N/A,NA,650,NA,1962,55,NA,8,29,25,0.007987878,3.08525
13629,13698,Belmaker,France,2373,3.166758,1,,Coris.julis,7,2,Summer,#N/A,NA,650,NA,1962,55,NA,8,29,25,0.007987878,3.08525
13630,13699,Belmaker,France,2373,3.166758,1,,Coris.julis,7,1,Summer,#N/A,NA,650,NA,1962,55,NA,8,29,25,0.007987878,3.08525
13631,13700,Belmaker,France,2373,3.166758,1,,Coris.julis,8,3,Summer,#N/A,NA,650,NA,1962,55,NA,8,29,25,0.007987878,3.08525
13632,13701,Belmaker,France,2373,3.166758,1,,Coris.julis,3,6,Summer,#N/A,NA,650,NA,1962,55,NA,8,29,25,0.007987878,3.08525
13633,13702,Belmaker,France,2373,3.166758,1,,Symphodus.ocellatus,10,1,Summer,#N/A,NA,650,NA,1962,55,NA,8,29,25,0.010586479,3.1768
13634,13703,Belmaker,France,2373,3.166758,1,,Symphodus.ocellatus,6,2,Summer,#N/A,NA,650,NA,1962,55,NA,8,29,25,0.010586479,3.1768
13635,13704,Belmaker,France,2373,3.166758,1,,Symphodus.ocellatus,7,1,Summer,#N/A,NA,650,NA,1962,55,NA,8,29,25,0.010586479,3.1768
13636,13705,Belmaker,France,2373,3.166758,1,,Symphodus.ocellatus,7,1,Summer,#N/A,NA,650,NA,1962,55,NA,8,29,25,0.010586479,3.1768
13637,13706,Belmaker,France,2373,3.166758,1,,Symphodus.ocellatus,10,1,Summer,#N/A,NA,650,NA,1962,55,NA,8,29,25,0.010586479,3.1768
13638,13707,Belmaker,France,2373,3.166758,1,,Symphodus.ocellatus,20,4,Summer,#N/A,NA,650,NA,1962,55,NA,8,29,25,0.010586479,3.1768
13639,13708,Belmaker,France,2373,3.166758,1,,Serranus.cabrilla,13,1,Summer,#N/A,NA,650,NA,1962,55,NA,8,29,25,0.01793521,2.869465625
13640,13709,Belmaker,France,2373,3.166758,1,,Serranus.cabrilla,6,1,Summer,#N/A,NA,650,NA,1962,55,NA,8,29,25,0.01793521,2.869465625
13641,13710,Belmaker,France,2373,3.166758,1,,Serranus.cabrilla,15,1,Summer,#N/A,NA,650,NA,1962,55,NA,8,29,25,0.01793521,2.869465625
13642,13711,Belmaker,France,2373,3.166758,1,,Serranus.cabrilla,12,1,Summer,#N/A,NA,650,NA,1962,55,NA,8,29,25,0.01793521,2.869465625
13643,13712,Belmaker,France,2373,3.166758,1,,Serranus.cabrilla,18,1,Summer,#N/A,NA,650,NA,1962,55,NA,8,29,25,0.01793521,2.869465625
13644,13713,Belmaker,France,2373,3.166758,1,,Symphodus.tinca,12,1,Summer,#N/A,NA,650,NA,1962,55,NA,8,29,25,0.018104759,2.89916
13645,13714,Belmaker,France,2373,3.166758,1,,Symphodus.tinca,15,1,Summer,#N/A,NA,650,NA,1962,55,NA,8,29,25,0.018104759,2.89916
13646,13715,Belmaker,France,2373,3.166758,1,,Symphodus.tinca,9,1,Summer,#N/A,NA,650,NA,1962,55,NA,8,29,25,0.018104759,2.89916
13647,13716,Belmaker,France,2373,3.166758,1,,Symphodus.tinca,15,1,Summer,#N/A,NA,650,NA,1962,55,NA,8,29,25,0.018104759,2.89916
13648,13717,Belmaker,France,2373,3.166758,1,,Dentex.dentex,25,2,Summer,#N/A,NA,650,NA,1962,55,NA,8,29,25,0.010469542,3.105444444
13650,13720,Belmaker,France,2373,3.166758,1,,Symphodus.mediterraneus,12,1,Summer,#N/A,NA,650,NA,1962,55,NA,8,29,25,0.017410621,2.931
13651,13721,Belmaker,France,2373,3.166758,1,,Sarpa.salpa,27,14,Summer,#N/A,NA,650,NA,1962,55,NA,8,29,25,0.014232325,3.0299
13652,13722,Belmaker,France,2373,3.166758,1,,Diplodus.vulgaris,15,1,Summer,#N/A,NA,650,NA,1962,55,NA,8,29,25,0.01416999,3.073146667
13653,13723,Belmaker,France,2373,3.166758,1,,Diplodus.vulgaris,12,2,Summer,#N/A,NA,650,NA,1962,55,NA,8,29,25,0.01416999,3.073146667
13654,13724,Belmaker,France,2373,3.166758,1,,Coris.julis,3,1,Summer,#N/A,NA,650,NA,1962,55,NA,8,29,25,0.007987878,3.08525
13655,13725,Belmaker,France,2373,3.166758,1,,Coris.julis,10,1,Summer,#N/A,NA,650,NA,1962,55,NA,8,29,25,0.007987878,3.08525
13656,13726,Belmaker,France,2373,3.166758,1,,Coris.julis,10,1,Summer,#N/A,NA,650,NA,1962,55,NA,8,29,25,0.007987878,3.08525
13657,13727,Belmaker,France,2373,3.166758,1,,Coris.julis,5,1,Summer,#N/A,NA,650,NA,1962,55,NA,8,29,25,0.007987878,3.08525
13658,13728,Belmaker,France,2373,3.166758,1,,Coris.julis,10,2,Summer,#N/A,NA,650,NA,1962,55,NA,8,29,25,0.007987878,3.08525
13659,13729,Belmaker,France,2373,3.166758,1,,Coris.julis,10,2,Summer,#N/A,NA,650,NA,1962,55,NA,8,29,25,0.007987878,3.08525
