,lon,lat,Country,point
2,34.86692,32.41672,Israel,"32.41672, 34.86692"
3,34.91514,32.61921,Israel,"32.61921, 34.91514"
4,34.94961,32.81962,Israel,"32.81962, 34.94961"
5,35.07617,33.04638,Israel,"33.04638, 35.07617"
6,34.0755501,34.97605539,Cyprus,"34.97605539, 34.0755501"
7,34.07406801,34.98572215,Cyprus,"34.98572215, 34.07406801"
8,34.07284848,34.99448353,Cyprus,"34.99448353, 34.07284848"
9,32.80491594,35.15060813,Cyprus:Northern Cyprus,"35.15060813, 32.80491594"
10,32.82491778,35.15104358,Cyprus:Northern Cyprus,"35.15104358, 32.82491778"
11,32.81113286,35.15279293,Cyprus:Northern Cyprus,"35.15279293, 32.81113286"
12,32.80491594,35.15374356,Cyprus:Northern Cyprus,"35.15374356, 32.80491594"
13,32.81180556,35.15552901,Cyprus:Northern Cyprus,"35.15552901, 32.81180556"
14,32.8070399,35.15572036,Cyprus:Northern Cyprus,"35.15572036, 32.8070399"
15,32.80187966,35.15601941,Cyprus:Northern Cyprus,"35.15601941, 32.80187966"
16,32.79873272,35.16050915,Cyprus:Northern Cyprus,"35.16050915, 32.79873272"
17,32.86505019,35.16087555,Cyprus:Northern Cyprus,"35.16087555, 32.86505019"
18,32.86232875,35.161684,Cyprus:Northern Cyprus,"35.161684, 32.86232875"
19,32.86833586,35.16250675,Cyprus:Northern Cyprus,"35.16250675, 32.86833586"
20,32.86371941,35.16362463,Cyprus:Northern Cyprus,"35.16362463, 32.86371941"
21,32.86710743,35.16366747,Cyprus:Northern Cyprus,"35.16366747, 32.86710743"
22,32.86541895,35.16576709,Cyprus:Northern Cyprus,"35.16576709, 32.86541895"
23,32.89455693,35.18063356,Cyprus:Northern Cyprus,"35.18063356, 32.89455693"
24,32.89773914,35.18189579,Cyprus:Northern Cyprus,"35.18189579, 32.89773914"
25,32.89335427,35.18261207,Cyprus:Northern Cyprus,"35.18261207, 32.89335427"
26,32.90009861,35.18467588,Cyprus:Northern Cyprus,"35.18467588, 32.90009861"
27,32.89623785,35.18526113,Cyprus:Northern Cyprus,"35.18526113, 32.89623785"
28,32.898695,35.18665088,Cyprus:Northern Cyprus,"35.18665088, 32.898695"
29,25.7587,35.2542,NA,"35.2542, 25.7587"
30,25.034,35.4026,NA,"35.4026, 25.034"
31,24.9883,35.4146,NA,"35.4146, 24.9883"
32,12.633,35.501,NA,"35.501, 12.633"
33,12.604,35.526,NA,"35.526, 12.604"
34,27.207,35.828,NA,"35.828, 27.207"
35,27.239,35.83,NA,"35.83, 27.239"
36,27.238,35.861,NA,"35.861, 27.238"
37,27.236,35.868,NA,"35.868, 27.236"
38,26.823,35.875,NA,"35.875, 26.823"
39,26.823,35.879,NA,"35.879, 26.823"
40,14.515,35.906,NA,"35.906, 14.515"
41,14.324,35.943,NA,"35.943, 14.324"
42,29.662,36.141,NA,"36.141, 29.662"
43,29.617,36.151,NA,"36.151, 29.617"
44,29.63,36.152,NA,"36.152, 29.63"
45,29.629,36.163,NA,"36.163, 29.629"
46,29.639,36.182,Turkey,"36.182, 29.639"
47,29.605,36.188,Turkey,"36.188, 29.605"
48,30.436,36.237,NA,"36.237, 30.436"
