site,max_temp
Cap Bear,22.06547143
Cap Cerbere,22.07552857
1 Km South of the marina,22.08470167
1000m S of Harbor,22.08470167
500m S of Harbor,22.08470167
Banyuls,22.08470167
Banyuls port,22.08470167
Beach at next bay over from Banyuls,22.08470167
Behind the marina,22.08470167
Cap Canadelle,22.08470167
Cap l'Abeille,22.08470167
Cap Peyrefite,22.08470167
Cap Rederis,22.08470167
Keysaria Port,22.08470167
"North of the arches, public beach",22.08470167
Outside reseve,22.08470167
South edge of no-take zone,22.08470167
south of Cape Bear,22.08470167
Cap d'Ullastrell,22.089504
CAP DE CREUS,22.380507
MEDES,22.75061167
MONTGRI,22.82938167
