site,max_temp
AYVALIK,24.17073
CAPO CACCIA,24.2891875
Kornati,24.54843111
ASINARA_add,24.667286
GYAROS,24.868112
CARLOFORTE,24.89167667
KIMOLOS,24.89316143
Asinara,24.91204273
Brijuni,24.93768125
KARPATHOS,24.99332
TAVOLARA,25
GENOVA,25.01119333
PORTOFINO,25.025095
Miljet,25.03736889
Mljet,25.03736889
PIPERI,25.04943
Mades,25.051115
Alykes,25.2447375
Kolokytha,25.315782
TREMITI,25.438996
OTRANTO,25.61376
TORRE GUACETO,25.62759167
Marettimo,25.950003
ALONISSOS,25.99442375
CABRERA,26
CAVALLERIA,26
EIVISSA,26
FORMENTERA,26
ILLA DE L'AIRE,26
Lampedusa,26
Malta,26
PORTO CESAREO,26
San vito,26.0027575
DRAGONERA,26.03107429
FORMENTOR,26.08041
GOKOVA,26.29484333
Ustica,26.99801333
