Site,Apogon.imberbis,Chromis.chromis,Coris.julis,Diplodus.annularis,Diplodus.puntazzo,Diplodus.sargus,Diplodus.vulgaris,Epinephelus.marginatus,Labrus.merula,Mullus.surmuletus,Oblada.melanura,Sarpa.salpa,Serranus.cabrilla,Serranus.scriba,Siganus.luridus,Siganus.rivulatus,Sparisoma.cretense,Symphodus.mediterraneus,Symphodus.melanocercus,Symphodus.ocellatus,Symphodus.roissali,Symphodus.tinca,Thalassoma.pavo,Grand Total
1 Km South of the marina,,33,230,8,1,36,98,,9,19,,4,56,,,,,37,14,16,1,16,,578
1000m S of Harbor,,17,157,,1,16,38,1,,6,1,,23,,,,,2,2,7,5,6,,282
500m S of Harbor,,13,78,1,,18,44,,3,5,3,3,14,1,,,,2,3,9,5,7,1,210
Achziv,5,266,412,,1,85,36,38,,5,43,,22,28,153,187,17,13,,,13,51,909,2284
ADRASAN,2,18,23,,1,15,6,2,,,4,,,11,16,5,30,,,,,,35,168
Akhziv Is.,,25,20,,,8,8,6,,,12,,3,3,19,19,2,,,,,1,44,170
ALONISSOS,10,19,39,19,3,3,14,,2,4,22,19,16,21,,,,10,8,7,,28,12,256
Alykes,2,12,18,,,6,7,,1,1,,1,3,4,15,6,8,,,,,,21,105
Asinara,,64,68,5,30,60,60,21,26,15,37,34,63,45,,,,12,14,5,45,64,43,711
ASINARA_add,13,108,334,145,76,246,26,51,95,6,76,108,191,355,,,,1,9,,209,366,379,2794
AYVALIK,3,29,44,11,2,7,41,1,12,,6,6,26,21,,,,22,7,18,1,36,1,294
Banyuls,,30,122,1,4,19,69,,2,7,15,1,24,3,,,,8,7,15,6,12,1,346
Banyuls port,,16,68,,,13,26,,4,12,1,,27,1,,,,1,1,1,,10,,181
Beach at next bay over from Banyuls,,1,162,2,,4,23,,,11,4,,46,,,,,4,5,17,2,13,,294
Behind the marina,,9,31,,,5,20,,1,,,,7,,,,,2,,,1,1,,77
Brijuni,,111,235,4,25,57,197,,3,20,56,24,4,169,,,,25,1,1,2,89,,1023
CABRERA,,23,36,1,4,22,30,7,2,3,4,3,3,24,,,,15,3,18,7,28,31,264
Cap Bear,,109,270,23,14,157,274,,13,48,21,25,138,9,,,,75,43,86,8,162,,1475
Cap Canadelle,,103,227,2,15,129,216,,25,43,45,38,178,11,,,,35,7,57,7,85,,1223
Cap Cerbere,,115,257,8,15,116,194,,17,39,39,38,153,10,,,,31,16,74,11,73,1,1207
CAP DE CREUS,1,23,59,,1,56,34,1,9,4,7,6,24,12,,,,22,3,24,4,36,6,332
Cap d'Ullastrell,,72,274,16,9,133,212,,30,53,27,20,159,24,,,,56,37,105,19,127,,1373
Cap l'Abeille,,113,261,4,51,221,254,20,39,47,53,45,126,18,,,,38,47,113,17,124,,1591
Cap Peyrefite,1,86,273,,23,141,234,5,38,48,22,35,145,11,,,,60,40,82,17,136,,1397
Cap Rederis,,158,372,5,26,210,326,24,42,84,108,40,198,36,,,,58,56,117,23,120,,2003
CAPO CACCIA,8,17,43,4,3,34,33,2,2,1,4,15,28,7,,,,8,4,6,2,37,6,264
CARLOFORTE,3,22,59,12,8,20,39,1,5,5,2,22,38,26,,,,19,15,14,20,63,21,414
CAVALLERIA,,26,35,3,2,14,29,7,3,2,6,7,2,17,,,,8,5,17,12,33,18,246
Chapel,2,13,23,,,3,8,,,,4,,6,4,7,13,13,,,5,4,16,20,141
