species,home_range,water_level,schooling,activity,depth_min,depth_max,diet,size_class
Anthias anthias,sed,high,large,day,0,300,z,c
Apogon imberbis,sed,low,medium,night,10,200,z,c
Atherina boyeri,mob,high,large,day,0,5,z,b
Balistes capriscus,vmob,high,large,day,0,100,c,e
Boops boops,vmob,high,large,night,0,350,z,c
Caranx crysos,vmob,high,medium,day,0,100,p,d
Cheilodipterus novemstriatus,sed,low,small,night,1,10,z,b
Chromis chromis,sed,high,large,day,2,40,z,c
Coris julis,mob,bottom,medium,day,0,120,c,c
Dentex dentex,vmob,low,small,day,0,200,p,e
Diplodus annularis,mob,low,small,day,0,90,c,c
Diplodus puntazzo,mob,low,medium,day,0,150,c,d
Diplodus sargus,mob,low,medium,day,0,50,c,d
Diplodus vulgaris,mob,low,medium,day,0,160,c,d
Fistularia commersonii,vmob,high,medium,day,0,132,p,f
Gobius bucchichi,sed,bottom,sol,day,1,30,c,b
Gobius xanthocephalus,sed,bottom,sol,day,0,87,c,b
Herklotsichthys punctatus,vmob,high,large,day,0,50,z,b
Lithognathus mormyrus,mob,low,large,day,0,150,d,d
Mullus surmuletus,vmob,bottom,medium,day,5,60,d,d
Oblada melanura,vmob,high,large,day,0,30,z,c
Pagellus acarne,vmob,low,large,day,40,100,z,d
Parupeneus forsskali,mob,bottom,small,day,1,15,c,d
Pempheris vanicolensis,sed,low,medium,night,1,5,z,c
Plotosus lineatus,mob,bottom,large,night,1,60,c,d
Pomadasys incisus,vmob,low,medium,day,10,100,c,d
Pseudocaranx dentex,vmob,high,small,both,10,238,p,d
Sardina pilchardus,vmob,high,large,day,10,100,z,c
Sargocentron rubrum,sed,low,small,night,1,84,c,d
Sarpa salpa,mob,low,large,day,5,70,h,d
Seriola dumerili,vmob,high,medium,both,1,360,p,f
Serranus cabrilla,mob,low,sol,day,5,500,c,d
Serranus scriba,mob,low,sol,day,5,150,c,d
Siganus luridus,mob,low,medium,day,2,40,h,c
Siganus rivulatus,mob,low,large,day,0,30,h,c
Sparisoma cretense,vmob,low,medium,day,20,50,h,d
Sparus aurata,mob,low,medium,day,1,150,c,d
Spicara maena,vmob,high,large,day,30,130,c,c
Spicara smaris,vmob,high,large,day,15,328,z,c
Spondyliosoma cantharus,mob,low,small,day,5,300,c,d
Symphodus doderleini,mob,bottom,small,day,2,40,c,c
Symphodus mediterraneus,mob,bottom,sol,day,1,50,c,c
Symphodus roissali,mob,bottom,sol,day,1,30,c,c
Symphodus tinca,mob,bottom,medium,day,1,50,c,d
Thalassoma pavo,mob,bottom,medium,day,1,150,z,c
Torquigener flavimaculosus,mob,bottom,small,day,3,57,c,c
Trachinotus ovatus,mob,high,medium,day,50,200,z,d
